Year,Month,AQI
2020,1,
2020,2,
2020,3,176
2020,4,128
2020,5,93
2020,6,91
2020,7,89
2020,8,80
2020,9,91
2020,10,127
2020,11,165
2020,12,233
2021,1,265
2021,2,237
2021,3,213
2021,4,155
2021,5,114
2021,6,107
2021,7,76
2021,8,100
2021,9,101
2021,10,152
2021,11,196
2021,12,206
2022,1,223
2022,2,169
2022,3,197
2022,4,147
2022,5,144
2022,6,136
2022,7,104
2022,8,80
2022,9,122
2022,10,133
2022,11,172
2022,12,222
2023,1,218
2023,2,156
2023,3,168
2023,4,122
2023,5,145
2023,6,128
2023,7,92
2023,8,129
2023,9,116
2023,10,153
2023,11,176
2023,12,210
2024,1,244
2024,2,217
2024,3,189
2024,4,161
2024,5,129
2024,6,69
2024,7,57
2024,8,81
2024,9,111
2024,10,122
2024,11,130
2024,12,173
